Height [mm],Pressure [Gpa],Pressure [Atm]
0,0,0
0.055493,0.0000025,0.0246730825
0.234022,0.000005,0.049346165
0.565964,0.0000075,0.0740192475
0.970567,0.00001,0.09869233
1.43132,0.0000125,0.1233654125
1.9381,0.000015,0.148038495
2.47975,0.0000175,0.1727115775
3.04436,0.00002,0.19738466
3.62025,0.0000225,0.2220577425
4.19709,0.000025,0.246730825
4.76689,0.0000275,0.2714039075
5.32433,0.00003,0.29607699
5.86653,0.0000325,0.3207500725
6.39264,0.000035,0.345423155
6.90306,0.0000375,0.3700962375
7.39887,0.00004,0.39476932
7.88149,0.0000425,0.4194424025
8.35248,0.000045,0.444115485
8.81336,0.0000475,0.4687885675
9.26567,0.00005,0.49346165
9.71073,0.0000525,0.5181347325
10.1497,0.000055,0.542807815
10.5834,0.0000575,0.5674808975
11.0127,0.00006,0.59215398
11.4385,0.0000625,0.6168270625
11.8614,0.000065,0.641500145
12.2822,0.0000675,0.6661732275
12.7013,0.00007,0.69084631
13.1192,0.0000725,0.7155193925
13.5364,0.000075,0.740192475
13.9533,0.0000775,0.7648655575
14.3703,0.00008,0.78953864
14.7879,0.0000825,0.8142117225
15.2065,0.000085,0.838884805
15.6265,0.0000875,0.8635578875
16.0482,0.00009,0.88823097
16.4719,0.0000925,0.9129040525
16.8981,0.000095,0.937577135
17.3271,0.0000975,0.9622502175
17.7594,0.0001,0.9869233
18.1954,0.0001025,1.0115963825
18.6353,0.000105,1.036269465
19.0797,0.0001075,1.0609425475
19.529,0.00011,1.08561563
19.9836,0.0001125,1.1102887125
20.4441,0.000115,1.134961795
20.9109,0.0001175,1.1596348775
21.3845,0.00012,1.18430796
21.8655,0.0001225,1.2089810425
22.3545,0.000125,1.233654125
22.8522,0.0001275,1.2583272075
23.3593,0.00013,1.28300029
23.8765,0.0001325,1.3076733725
24.4044,0.000135,1.332346455
24.9441,0.0001375,1.3570195375
25.4964,0.00014,1.38169262
26.0625,0.0001425,1.4063657025
26.6435,0.000145,1.431038785
27.2405,0.0001475,1.4557118675
27.8548,0.00015,1.48038495
28.4879,0.0001525,1.5050580325
29.1416,0.000155,1.529731115
29.8178,0.0001575,1.5544041975
30.5184,0.00016,1.57907728
31.2457,0.0001625,1.6037503625
32.0023,0.000165,1.628423445
32.7911,0.0001675,1.6530965275
33.6156,0.00017,1.67776961
34.4795,0.0001725,1.7024426925
35.387,0.000175,1.727115775
36.3431,0.0001775,1.7517888575
37.3538,0.00018,1.77646194
38.4258,0.0001825,1.8011350225
39.5666,0.000185,1.825808105
40.7856,0.0001875,1.8504811875
42.094,0.00019,1.87515427
43.5048,0.0001925,1.8998273525
45.0334,0.000195,1.924500435
46.6992,0.0001975,1.9491735175
48.5252,0.0002,1.9738466
50.5399,0.0002025,1.9985196825
52.7791,0.000205,2.023192765
55.2869,0.0002075,2.0478658475
58.0229,0.00021,2.07253893
61.1469,0.0002125,2.0972120125
64.7767,0.000215,2.121885095
68.9439,0.0002175,2.1465581775
73.835,0.00022,2.17123126
79.6147,0.0002225,2.1959043425
86.5268,0.000225,2.220577425
95.0137,0.0002275,2.2452505075
105.778,0.00023,2.26992359
120.2,0.0002325,2.2945966725
141.699,0.000235,2.319269755
194.555,0.0002375,2.3439428375
198.5,0.00023755325,2.34446837415725
